county,人均可支配所得,10~24歲人口數,25~45歲人口數,旅宿業房間數,人口數
新北市,439673,553878,1256501,15055,4047095
台北市,540380,328332,715982,41526,2480881
桃園市,403802,359857,757616,13575,2341566
台中市,394704,437040,918668,24169,2863285
台南市,345618,254554,573446,15965,1858302
高雄市,392459,372873,829931,24253,2729670
宜蘭縣,356193,64049,134253,18746,449418
新竹縣,474837,97546,189400,2644,595474
苗栗縣,369309,80055,163462,3662,532672
彰化縣,329084,185591,384232,3093,1222781
南投縣,330292,66779,138890,11549,471647
雲林縣,352839,96588,190787,3166,657034
嘉義縣,314778,64297,137325,4221,477878
屏東縣,333220,107756,235578,12063,788180
台東縣,330321,30311,60818,15076,209864
花蓮縣,368048,44809,92538,16152,314919
基隆市,357347,47343,106413,1446,361250
新竹市,502089,76278,143329,3957,456867
嘉義市,394613,42139,77525,5477,261935